STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       5792;20160415;   10;  30.7;  13.7;    3;   0.2;   7;    0.767; 330;   7.7;   3.7;  702.97;   -4.3;   83.29;   -2.2;   -6.8;-999;eor
       5792;20160416;   10;  35.9;  14.5;    3;   0.1;   7;    7.050; 325;   5.7;   4.1;  702.15;   -2.7;   81.58;   -0.7;   -4.2;-999;eor
       5792;20160417;   10;  40.7;  10.7;    3;  32.1;   7;    0.017; 320;   7.7;   4.2;  702.31;   -3.9;   91.83;   -1.6;   -7.2;-999;eor
       5792;20160418;   10;  10.4;   3.4;    3;  34.6;   7;    3.533; 350;   7.7;   3.4;  705.76;   -6.9;   94.25;   -3.6;   -8.7;-999;eor
       5792;20160419;   10;  12.9;   5.6;    3;   0.0;   0;   13.117; 370;   1.0;   2.4;  710.31;   -7.9;   73.71;   -5.1;  -10.1;-999;eor
       5792;20160420;   10;  14.3;   5.9;    3;   0.0;   0;   13.633; 360;   2.0;   1.2;  714.17;   -3.5;   26.21;    1.3;   -8.1;-999;eor
       5792;20160421;   10;  10.9;   6.8;    3;   0.0;   0;   12.767; 350;   5.0;   2.3;  714.20;    1.4;   34.13;    3.9;   -1.0;-999;eor
       5792;20160422;   10;  11.5;   3.5;    3;   0.1;   7;    4.700; 340;   7.3;   4.4;  708.33;   -2.8;   88.96;    0.6;   -6.3;-999;eor
       5792;20160423;   10;  12.1;   3.3;    3;  15.1;   7;    0.317; 340;   8.0;   3.8;  700.22;   -5.3;   91.50;   -0.4;  -11.6;-999;eor
       5792;20160424;   10;  12.4;   5.4;    3;  13.9;   7;    0.017; 350;   8.0;   2.0;  696.14;  -13.7;   91.96;  -11.2;  -15.7;-999;eor
       5792;20160425;   10;  28.0;   8.7;    3;   6.3;   7;    2.167; 365;   7.7;   1.6;  695.32;  -15.5;   89.79;  -13.9;  -17.5;-999;eor
       5792;20160426;   10;  30.0;  12.3;    3;   7.0;   7;    0.050; 380;   8.0;   2.3;  693.71;  -11.2;   89.13;   -8.8;  -14.0;-999;eor
       5792;20160427;   10;  26.2;   8.8;    3;   1.5;   7;    3.267; 380;   6.0;   1.6;  695.38;  -15.4;   84.67;  -12.9;  -16.6;-999;eor
       5792;20160428;   10;  14.5;   5.8;    3;   0.7;   7;    1.567; 375;   7.3;   1.9;  700.43;  -13.3;   85.00;  -10.7;  -15.9;-999;eor
       5792;20160429;   10;  14.9;   7.0;    3;   0.0;   0;   12.700; 375;   1.0;   2.6;  705.48;   -7.9;   76.92;   -3.2;  -11.4;-999;eor
       5792;20160430;   10;  15.9;   5.0;    3;   0.2;   7;    9.217; 365;   4.0;   2.8;  705.78;   -5.2;   68.29;   -2.6;   -6.8;-999;eor
       5792;20160501;   10;  18.3;   5.2;    3;  58.4;   7;    0.000; 360;   8.0;   3.4;  704.29;   -6.9;   93.04;   -6.0;   -7.9;-999;eor
       5792;20160502;   10;  13.3;   3.7;    3;   9.5;   8;    0.000; 415;   8.0;   3.9;  708.73;   -5.7;   96.50;   -4.6;   -6.7;-999;eor
       5792;20160503;   10;  14.2;   5.5;    3;  36.9;   7;    0.500; 410;   7.7;   3.4;  708.41;   -7.2;   93.83;   -5.5;   -9.9;-999;eor
       5792;20160504;   10;-999;-999;    3;   1.3;   7;    0.050; 425;   8.0;   2.6;  710.28;  -10.2;   91.29;   -8.7;  -11.7;-999;eor
       5792;20160505;   10;  20.4;  10.2;    3;   0.0;   0;   14.183; 420;   2.0;   3.2;  710.58;   -6.4;   81.79;   -2.0;  -12.0;-999;eor
       5792;20160506;   10;  11.4;   4.9;    3;   0.0;   0;   13.683; 410;   1.0;   3.2;  710.00;   -2.0;   60.50;    1.8;   -4.3;-999;eor
       5792;20160507;   10;  12.2;   5.4;    3;   0.0;   0;   12.967; 405;   2.0;   3.6;  707.89;   -1.5;   66.92;    1.8;   -3.8;-999;eor
       5792;20160508;   10;  12.5;   5.4;    3;   0.0;   0;   12.700; 400;   1.7;   3.7;  707.99;   -1.1;   65.96;    2.1;   -3.1;-999;eor
       5792;20160509;   10;  14.4;   6.3;    3;   0.0;   7;    8.900; 395;   5.3;   4.7;  709.44;    0.0;   76.71;    2.7;   -2.3;-999;eor
       5792;20160510;   10;  22.0;   8.3;    3;   7.7;   7;    1.233; 380;   7.3;   5.4;  707.83;    0.5;   86.13;    2.5;   -1.1;-999;eor
       5792;20160511;   10;  15.7;   6.8;    3;   0.1;   7;    3.317; 370;   7.3;   4.8;  703.23;    0.6;   75.29;    3.2;   -0.8;-999;eor
       5792;20160512;   10;  16.5;   4.7;    3;  18.6;   7;    1.567; 365;   7.3;   4.8;  696.35;   -1.7;   89.54;    1.1;   -4.3;-999;eor
       5792;20160513;   10;  16.2;   6.2;    3;  25.5;   7;    0.000; 370;   8.0;   4.7;  696.15;   -3.1;   97.54;   -2.1;   -4.4;-999;eor
       5792;20160514;   10;  10.4;   4.0;    3;  17.0;   7;    0.717; 385;   8.0;   4.2;  701.23;   -4.7;   97.21;   -2.6;   -8.4;-999;eor
       5792;20160515;   10;  19.9;   6.8;    3;   9.9;   7;    0.067; 400;   8.0;   2.7;  704.09;   -9.9;   92.17;   -8.3;  -11.3;-999;eor
       5792;20160516;   10;  18.1;   7.8;    3;  19.4;   7;    0.033; 400;   7.7;   2.7;  705.46;  -10.1;   93.21;   -8.8;  -12.3;-999;eor
       5792;20160517;   10;  18.0;   7.3;    3;   1.2;   7;    0.450; 415;   7.7;   3.1;  706.68;   -8.2;   93.33;   -6.3;  -10.7;-999;eor
       5792;20160518;   10;  17.1;   6.6;    3;   0.4;   7;    8.217; 410;   6.3;   4.1;  706.07;   -4.3;   91.88;   -0.9;   -7.3;-999;eor
       5792;20160519;   10;  15.5;   6.2;    3;  31.5;   7;    0.000; 405;   8.0;   3.9;  704.01;   -5.4;   94.17;   -3.5;   -6.9;-999;eor
