STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        722;20160414;   10;  14.7;   7.0;    3;   1.5;   8;    2.300;   0;   7.0;   6.6;  878.80;    2.5;   90.25;    5.7;    1.1;   -0.9;eor
        722;20160415;   10;  22.5;  13.0;    3;   4.9;   8;    2.500;   0;   6.0;   6.8;  873.11;    3.5;   86.63;    6.3;    1.8;    0.8;eor
        722;20160416;   10;  25.7;  14.6;    3;   2.9;   8;    0.683;   0;   7.8;   7.6;  870.66;    3.1;   99.71;    4.2;    1.5;    1.7;eor
        722;20160417;   10;  14.3;   6.4;    3;   0.2;   7;    3.000;   0;   6.6;   5.4;  876.97;   -0.4;   91.25;    3.2;   -2.0;   -3.5;eor
        722;20160418;   10;  19.3;   8.7;    3;   0.0;   7;   10.933;   0;   3.9;   4.5;  885.22;    0.5;   73.50;    4.1;   -2.6;   -4.7;eor
        722;20160419;   10;  19.0;  11.5;    3;   0.8;   7;    1.883;   0;   6.8;   5.4;  888.48;    0.3;   87.63;    3.7;   -2.5;   -2.2;eor
        722;20160420;   10;  17.0;   8.3;    3;   0.0;   0;   10.367;   0;   3.7;   4.9;  893.59;    0.5;   79.54;    5.7;   -3.2;   -6.4;eor
        722;20160421;   10;  12.4;   4.0;    3;   0.0;   0;   13.367;   0;   1.0;   5.2;  890.81;    4.8;   58.33;   10.1;   -0.6;   -5.3;eor
        722;20160422;   10;  16.9;   7.1;    3;   0.0;   0;    9.617;   0;   5.1;   4.8;  884.43;    1.2;   75.25;    6.4;   -2.0;   -2.7;eor
        722;20160423;   10;  16.7;   7.3;    3;   0.6;   7;    0.700;   0;   7.1;   4.3;  877.23;   -2.8;   86.50;    0.0;   -5.0;   -4.7;eor
        722;20160424;   10;  18.1;  10.1;    3;   3.8;   7;    3.317;   0;   7.4;   4.0;  875.26;   -4.5;   92.83;   -1.1;   -5.7;   -5.7;eor
        722;20160425;   10;  23.6;  12.1;    3;  10.8;   7;    2.817;   4;   7.7;   4.2;  871.51;   -4.1;   93.08;   -1.3;   -5.7;   -5.5;eor
        722;20160426;   10;-999;-999;    3;   6.6;   7;    2.067;  13;   7.8;   4.3;  864.19;   -4.3;   96.88;   -2.8;   -6.1;   -5.3;eor
        722;20160427;   10;-999;-999;    3;  17.7;   7;    0.083;  18;   8.0;   4.6;  868.07;   -3.6;   97.00;   -2.4;   -4.4;   -4.2;eor
        722;20160428;   10;-999;-999;    3;   0.3;   7;    4.583;  32;   6.0;   4.9;  878.35;   -2.7;   96.33;   -0.5;   -4.3;   -4.4;eor
        722;20160429;   10;  22.6;-999;    3;   0.0;   0;    7.000;  30;   5.0;   4.9;  882.22;   -0.4;   83.79;    2.5;   -3.3;   -3.8;eor
