STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       5516;20160415;   10;   9.5;   4.2;    3;   2.9;   4;    0.500;   0;   6.7;   9.8; 1002.00;    8.1;   90.38;    9.9;    5.6;    4.6;eor
       5516;20160416;   10;  15.8;   6.0;    3;   3.7;   4;    6.617;   0;   5.7;   9.9;  997.58;    9.5;   84.17;   13.4;    5.8;    4.6;eor
       5516;20160417;   10;  16.2;  10.7;    3;   0.0;   4;   12.383;   0;   2.4;   8.0; 1005.91;    7.5;   77.46;    9.6;    5.4;    4.1;eor
       5516;20160418;   10;  16.1;   9.5;    3;   0.0;   4;    1.583;   0;   6.7;   8.2; 1014.14;    7.5;   78.92;    9.3;    5.1;    4.0;eor
       5516;20160419;   10;  19.8;  12.6;    3;   0.0;   4;    9.667;   0;   3.8;   8.6; 1017.24;    7.9;   80.75;    9.2;    6.9;    5.8;eor
       5516;20160420;   10;  16.8;   9.8;    3;   0.0;   0;   11.117;   0;   2.4;   8.3; 1026.03;    7.7;   78.83;    9.5;    6.3;    5.5;eor
       5516;20160421;   10;  16.3;   8.3;    3;   0.0;   0;   11.500;   0;   2.6;   8.8; 1022.81;    7.9;   82.33;   10.4;    6.1;    5.0;eor
       5516;20160422;   10;  17.5;   8.6;    3;   0.0;   0;   13.150;   0;   1.5;   7.9; 1015.98;    7.6;   75.33;   10.1;    5.5;    4.5;eor
       5516;20160423;   10;  12.5;   7.8;    3;   2.2;   4;    9.933;   0;   4.9;   7.2; 1009.04;    6.3;   75.29;    8.7;    4.8;    3.5;eor
       5516;20160424;   10;  12.5;   5.4;    3;   1.2;   4;    7.667;   0;   6.2;   6.9; 1007.40;    4.5;   81.83;    6.3;    2.7;    1.6;eor
       5516;20160425;   10;  11.8;   5.8;    3;   7.8;   4;    5.017;   0;   6.5;   6.9; 1002.28;    4.8;   80.25;    7.3;    3.6;    3.1;eor
       5516;20160426;   10;  13.9;   4.7;    3;   9.0;   4;    3.350;   0;   7.0;   6.9;  995.38;    3.7;   86.96;    7.3;    1.6;    0.6;eor
       5516;20160427;   10;  11.8;   2.7;    3;   4.6;   4;    3.667;   0;   7.2;   7.4;  997.95;    4.6;   87.96;    6.7;    2.3;    0.8;eor
       5516;20160428;   10;  12.3;   6.3;    3;   0.3;   4;    6.583;   0;   5.6;   7.7; 1008.20;    6.3;   81.58;    8.2;    4.2;    3.3;eor
       5516;20160429;   10;  14.1;   5.0;    3;   0.0;   4;    5.250;   0;   5.5;   8.0; 1013.88;    7.4;   78.17;   11.9;    2.5;    1.3;eor
       5516;20160430;   10;   7.3;   3.2;    3;   0.0;   4;    4.067;   0;   6.8;   8.9; 1018.39;    7.7;   85.04;   10.5;    4.5;    2.0;eor
       5516;20160501;   10;   9.2;   4.5;    3;   0.0;   0;   11.417;   0;   2.2;   9.3; 1025.52;    8.8;   82.21;   11.7;    6.2;    3.5;eor
       5516;20160502;   10;   9.1;   3.5;    3;   0.0;   0;   13.000;   0;   1.7;   9.1; 1022.78;   11.1;   70.54;   16.9;    4.0;    1.7;eor
       5516;20160503;   10;  13.1;   6.7;    3;   0.8;   4;    3.300;-999;   4.7;   9.9; 1018.15;   10.0;   80.83;   14.2;    8.1;    7.1;eor
       5516;20160504;   10;  10.7;   4.7;    3;   0.0;   0;   13.867;-999;   2.5;   9.2; 1027.45;    9.0;   80.96;   11.5;    5.3;    1.7;eor
       5516;20160505;   10;   8.2;   2.6;    3;   0.0;   0;   14.417;-999;   2.4;   8.9; 1027.31;   10.6;   71.75;   15.4;    4.0;    0.3;eor
       5516;20160506;   10;  12.2;   5.9;    3;   0.0;   0;   13.683;-999;   1.8;  10.6; 1019.96;   12.0;   75.71;   16.2;    7.3;    4.6;eor
       5516;20160507;   10;  14.0;   6.1;    3;   0.0;   0;   14.000;-999;   2.0;  11.2; 1016.93;   14.4;   68.63;   20.5;    8.5;    6.0;eor
       5516;20160508;   10;  13.1;   6.2;    3;   0.0;   0;   14.350;-999;   2.0;  11.6; 1019.87;   14.0;   73.50;   19.9;    8.8;    6.4;eor
       5516;20160509;   10;  13.3;   7.0;    3;   0.0;   0;   14.050;-999;   2.3;  12.0; 1020.48;   13.4;   78.00;   18.2;   10.8;    9.3;eor
       5516;20160510;   10;  12.1;   5.7;    3;   0.0;   0;   14.000;-999;   1.8;  12.7; 1015.67;   14.4;   78.08;   19.2;   10.1;    8.6;eor
       5516;20160511;   10;  16.2;   7.8;    3;   0.0;   0;   12.900;-999;   2.6;  12.7; 1011.72;   13.4;   83.21;   18.6;   10.1;    8.9;eor
       5516;20160512;   10;  14.4;   8.7;    3;   0.0;   0;   14.217;-999;   1.7;  11.0; 1007.73;   11.7;   80.54;   15.1;    9.1;    7.6;eor
       5516;20160513;   10;  12.0;   4.4;    3;   0.0;   0;   13.700;-999;   3.0;  10.7; 1003.03;   12.2;   76.21;   17.1;    8.5;    6.1;eor
       5516;20160514;   10;  13.2;   8.4;    3;   0.3;   4;    6.117;-999;   5.5;   9.6; 1003.98;    9.8;   78.96;   11.9;    7.6;    5.9;eor
